,datas,confirmados,confirmados_acum,obitos_acum
0,22/03,1,1,0
1,23/03,0,1,0
2,24/03,0,1,0
3,25/03,0,1,0
4,26/03,0,1,0
5,27/03,3,4,0
6,28/03,0,4,0
7,29/03,0,4,0
8,30/03,0,4,0
9,31/03,0,4,0
10,01/04,2,6,0
11,02/04,0,6,0
12,03/04,1,7,0
13,04/04,3,10,0
14,05/04,6,16,0
15,06/04,0,16,0
16,07/04,5,21,0
17,08/04,11,32,4
18,09/04,5,37,4
19,10/04,14,51,4
20,11/04,1,52,5
21,12/04,11,63,5
22,13/04,6,69,5
23,14/04,2,71,7
24,15/04,4,75,8
25,16/04,2,77,10
26,17/04,2,79,11
27,18/04,2,81,13
28,19/04,5,86,16
29,20/04,3,89,16
30,21/04,8,97,20
31,22/04,5,102,20
32,23/04,31,133,20
33,24/04,7,140,22
34,25/04,3,143,26
35,26/04,0,143,26
36,27/04,4,147,28
37,28/04,10,157,28
38,29/04,7,164,28
39,30/04,60,224,39
40,01/05,11,235,42
41,02/05,1,236,44
42,03/05,12,248,48
43,04/05,17,265,56
44,05/05,3,268,64
45,06/05,23,291,75
46,07/05,8,299,81
47,08/05,13,312,86
48,09/05,0,312,89
49,10/05,2,314,92
50,11/05,1,315,100
51,12/05,47,362,114
52,13/05,13,375,125
53,14/05,12,387,132
54,15/05,56,443,153
55,16/05,9,452,159
56,17/05,12,464,165
57,18/05,23,487,168
58,19/05,17,504,172
59,20/05,103,607,174
60,21/05,43,650,176
61,22/05,85,735,192
62,23/05,60,795,199
63,24/05,32,827,201
64,25/05,15,842,202
65,26/05,29,871,203
66,27/05,35,906,242
67,28/05,76,982,249
68,29/05,99,1081,254
69,30/05,19,1100,260
70,31/05,23,1123,266
71,01/06,65,1188,298
72,02/06,207,1395,341
73,03/06,64,1459,350
74,04/06,15,1474,362
75,05/06,85,1559,364
76,07/06,35,1594,372
77,08/06,65,1659,375
78,09/06,37,1696,379
79,10/06,31,1727,385
80,11/06,28,1755,389
81,12/06,13,1768,392
82,13/06,31,1799,394
83,14/06,7,1806,395
84,15/06,26,1832,397
85,16/06,109,1941,404
86,17/06,7,1948,411
87,18/06,18,1966,416
